,Consistency,TotalConsistency,Form,Opposition,Venue,DreamTeam
Steven Smith,2.6438,3.1921,3.0944,4.2404,2.259,1
Sanju Samson,2.6775,2.8118,3.6239,3.224,2.0768,0
Mahipal Lomror,1.9882,1.9882,1.4378,1.411,2.3432,1
Rahul Tewatia,2.3458,2.1948,1.9882,1.864,2.6124,1
Shubman Gill,2.6766,2.6766,3.502,3.1528,3.4508,1
Sunil Narine,2.1106,2.1106,2.1206,2.3772,1.7874,2
Nitish Rana,2.3686,2.2176,3.298,1.7202,2.6124,1
Andre Russell,3.0514,3.0514,4.0364,4.0792,1.5948,1
Dinesh Karthik,2.7948,3.3224,3.5974,3.2768,2.1408,1
Eoin Morgan,2.162,2.2176,0,2.0752,3.1956,1
Rahul Tripathi,2.7164,2.2176,2.3004,1.9696,0,5
Shane Watson,3.0768,3.8855,3.1684,3.8805,2.3974,4
Faf du Plessis,2.956,2.956,3.502,2.758,3.569,2
Ambati Rayudu,2.8799,3.2691,2.788,3.09,3.6018,3
MS Dhoni,3.951,4.2076,3.9282,4.0736,2.869,1
Kedar Jadhav,1.4338,2.4414,2.138,2.7394,0,1
Ravindra Jadeja,2.4186,2.899,2.822,3.5918,1.7272,2
Dwayne Bravo,2.4186,2.7308,1.9696,3.0702,1.0444,0
Sam Curran,2.2902,2.313,2.504,1.0672,1.8968,2
David Warner,3.9592,4.5183,4.4265,4.3486,4.3944,4
Jonny Bairstow,3.4571,3.4571,3.9047,3.1982,4.3216,5
Manish Pandey,2.6438,3.2691,3.6716,3.6274,3.7616,1
Kane Williamson,2.6994,2.6994,2.4514,3.6686,3.7214,2
Priyam Garg,2.313,2.313,0,0.1582,3.3808,0
Abhishek Sharma,1.713,1.864,1.1358,1.864,2.4428,1
Abdul Samad,2.2902,2.2902,0,1.1358,2.0024,1
KL Rahul,3.6242,3.7526,4.2755,3.9282,4.7192,1
Mayank Agarwal,2.6047,2.6775,3.0728,2.795,4.0964,1
Mandeep Singh,2.3858,2.4086,3.663,1.6234,2.1862,1
Nicholas Pooran,2.7392,2.7392,2.5468,3.1982,3.8398,5
Glenn Maxwell,2.5924,2.5924,0,2.8476,2.044,1
Simran Singh,1.713,1.411,0,1.562,1.7458,1
Ravi Bishnoi,0.8338,0.8338,0,0.5586,0.5914,1
Yashasvi Jaiswal,1.3782,1.3782,0,2.2634,2.1594,3
Jos Buttler,3.2538,3.107,3.1398,3.2852,1.4252,1
Steven Smith,2.6438,3.1921,3.0944,3.7114,4.2888,2
Sanju Samson,2.6775,2.8118,3.6239,2.3844,4.3216,1
Mahipal Lomror,1.562,1.562,1.4378,1.4378,0.8666,1
Rahul Tewatia,2.772,2.3458,1.9882,2.5654,3.5504,3
Prithvi Shaw,2.3686,2.3686,3.1784,2.5468,3.72,2
Shikhar Dhawan,2.6994,3.8042,3.7714,3.7714,2.1222,1
Shreyas Iyer,2.9232,2.9232,3.6076,2.9646,3.7528,2
Rishabh Pant,3.3103,3.3103,3.9096,3.8226,2.6124,1
Marcus Stoinis,2.772,2.5882,3.3736,2.8292,2.4614,3
Shimron Hetmyer,2.7164,2.162,1.9268,2.1392,3.4976,3
Axar Patel,1.6802,1.904,2.3844,2.2262,2.1534,2
Ravichandran Ashwin,0.8338,1.753,1.5632,2.403,0.2566,0
KL Rahul,3.6242,3.7526,4.2755,3.7086,3.2812,5
Mayank Agarwal,2.6047,2.6775,3.0728,3.1784,2.9732,4
Mandeep Singh,2.3858,2.4086,3.663,3.241,0.2566,0
Nicholas Pooran,2.7392,2.7392,2.5468,2.7164,3.0714,2
Simran Singh,1.713,1.411,0,0.8338,0.8666,1
Glenn Maxwell,2.5924,2.5924,0,3.2738,4.266,1
Rahul Tripathi,2.621,2.2176,2.3004,2.1308,3.6018,1
Shubman Gill,2.6766,2.6766,3.502,3.3594,4.0196,4
Nitish Rana,2.2176,2.2176,3.298,3.1712,2.5484,1
Sunil Narine,2.1106,2.1106,2.1206,3.2738,2.195,0
Eoin Morgan,2.162,2.4742,0,3.2296,2.8564,2
Andre Russell,3.0514,3.0514,4.0364,3.5974,1.6818,1
Dinesh Karthik,2.7948,3.3224,3.5974,3.8668,3.4864,4
Shane Watson,2.9258,3.8855,3.1684,2.9718,3.5192,1
