,Consistency,TotalConsistency,Form,RecentForm,Opposition,Venue,BatBowl,DreamTeam
Steven Smith,2.6438,3.1921,3.0944,3.2538,3.4464,1.4438,1,1
Jos Buttler,3.2538,2.7948,3.1398,0.8338,3.0786,0,1,1
Sanju Samson,2.6775,2.8118,3.6239,3.2538,3.2768,1.5948,1,0
Robin Uthappa,1.1358,3.3224,2.8848,1.1358,3.0702,3.3124,1,0
Riyan Parag,2.162,2.162,2.8776,1.0374,3.1426,0,1,0
Rahul Tewatia,2.3458,2.1948,1.9882,2.772,1.864,0,1,0
Shubman Gill,2.6766,2.6766,3.502,2.8962,2.2448,0,1,1
Sunil Narine,2.1106,2.1106,2.1206,0.8864,2.9616,0,1,1
Dinesh Karthik,2.7948,3.3224,3.5974,1.4636,3.6602,3.1428,1,0
Nitish Rana,2.3686,2.2176,3.298,2.2902,2.2448,0,1,0
Eoin Morgan,2.162,2.2176,0,2.8406,3.5104,0,1,1
Andre Russell,2.7948,3.0514,4.0364,1.562,2.8034,0,1,0
Riyan Parag,0.9385,0.9385,1.5317,0,0.6354,0,0,0
Tom Curran,1.4191,1.7743,0,1.4833,0,0,0,1
Jofra Archer,2.1917,2.1917,2.9483,0.9202,1.9283,0,0,1
Shreyas Gopal,2.4122,2.8296,3.6626,0.9202,2.6547,0,0,0
Ankit Rajpoot,1.4191,2.3762,1.4348,1.4833,0.6354,0,0,0
Jaydev Unadkat,1.6763,3.4372,2.7063,0.6115,3.0747,1.7612,0,1
Sunil Narine,3.7981,4.0615,2.9242,0.9202,3.268,2.2883,0,1
Andre Russell,3.093,2.9955,3.4206,2.155,3.3122,0,0,0
Kamlesh Nagarkoti,0.6808,0.6808,0,0.6115,0,0,0,1
Pat Cummins,0.9385,1.934,0,0.9202,0,0,0,0
Shivam Mavi,1.2589,1.2589,0,2.034,1.8728,0,0,1
Kuldeep Yadav,2.4744,2.4744,1.8586,0.6115,3.6647,0,0,0
Varun Chakravarthy,0,1.5166,0,0,0,0,0,1
KL Rahul,3.6242,3.7526,4.2755,3.4343,4.4209,2.0538,1,0
Mayank Agarwal,2.5491,2.6775,3.0728,3.4343,2.8148,0.8666,1,1
Karun Nair,2.1948,2.5298,0.9848,1.864,2.8476,1.1232,1,0
Nicholas Pooran,2.2574,2.2574,2.5468,2.1918,0,0,1,1
Glenn Maxwell,2.5924,2.5924,0,1.1358,3.2738,3.7528,1,0
James Neesham,0,0,0,0,0,0,1,0
Sarfaraz Khan,2.621,2.313,3.3038,1.562,1.713,0,1,0
Ravi Bishnoi,0,0,0,0,0,0,1,0
Rohit Sharma,3.7509,4.0075,3.2768,2.621,3.8896,3.5832,1,1
Quinton de Kock,2.6438,2.7659,3.7158,1.713,3.5732,2.1862,1,0
Suryakumar Yadav,2.6438,2.4414,3.703,2.0408,3.3722,3.8412,1,1
Ishan Kishan,2.162,2.1848,1.8186,3.1982,2.2262,0,1,0
Kieron Pollard,3.194,3.194,3.5418,3.1982,3.9096,3.1114,1,1
Hardik Pandya,2.5696,2.5696,4.1262,1.713,3.06,2.0024,1,1
Krunal Pandya,2.5696,2.5696,2.641,0.9848,2.8034,1.2742,1,0
Glenn Maxwell,1.6763,1.6763,0,1.1079,1.2929,0.5801,0,0
James Neesham,1.0987,0,0,1.1079,0,0,0,0
Murugan Ashwin,1.3564,1.934,2.1432,2.155,2.63,0,0,0
Ravi Bishnoi,1.8718,0,0,2.3609,0,0,0,0
Sheldon Cottrell,1.9693,1.9693,0,2.4819,0,0,0,0
Mohammed Shami,2.2892,2.6148,3.8685,2.4819,3.1189,1.7319,0,1
Kieron Pollard,2.7378,2.7378,0,1.6043,2.6326,1.3647,0,1
Hardik Pandya,2.6148,2.3514,3.7052,0,2.4393,0,0,0
Krunal Pandya,2.7123,2.7123,3.5175,0.9202,2.246,1.3647,0,0
James Pattinson,1.5166,1.5166,0,1.9312,0,3.052,0,1
