,Consistency,TotalConsistency,Form,Opposition,Venue,DreamTeam
Jasprit Bumrah,3.2527,3.5161,4.1531,4.3001,4.601,4
Mahipal Lomror,0.6808,0.6808,0,0,0,0
Rahul Tewatia,1.6141,2.0315,2.034,2.6521,1.1602,0
Jofra Archer,2.7066,2.7066,2.9483,3.6052,2.5902,1
Tom Curran,1.0987,1.5793,0,1.1685,1.4385,0
Shreyas Gopal,2.4122,2.8296,3.6626,2.6547,3.052,2
Ankit Rajpoot,1.0987,2.1185,1.4348,2.8259,0.5801,0
Kartik Tyagi,1.4191,0,0,0,0,1
Sunil Narine,3.7981,4.0615,2.9242,3.9008,4.601,1
Andre Russell,3.093,2.9955,3.4206,2.9724,2.4719,1
Pat Cummins,0.9385,1.934,0,1.8039,1.7612,0
Shivam Mavi,1.2589,1.2589,0,0.6354,2.6346,1
Kamlesh Nagarkoti,1.8718,1.8718,0,0,0.5801,1
Varun Chakravarthy,0,1.7743,0,0,2.0101,1
Shane Watson,1.2589,3.5161,0,3.6078,1.5038,0
Ravindra Jadeja,3.4372,3.8665,3.9654,4.4492,3.0521,0
Dwayne Bravo,3.5104,4.0012,3.1119,3.9255,0,3
Sam Curran,1.5166,2.057,3.0496,0.6354,2.0101,2
Shardul Thakur,2.1917,2.6091,2.4217,2.3149,0,2
Piyush Chawla,1.7743,4.5218,2.8032,3.7543,3.9104,2
Deepak Chahar,2.7066,2.4489,4.1531,2.5056,2.4719,0
Abhishek Sharma,1.4191,1.4191,2.034,2.0414,2.3328,1
Abdul Samad,0.9385,0.9385,0,0.6354,1.3647,0
Rashid Khan,2.97,2.97,3.9654,4.2406,4.2122,3
Sandeep Sharma,2.3514,3.8353,2.9483,3.2875,2.8032,0
Khaleel Ahmed,2.3867,2.3867,3.0934,2.6521,3.1912,2
T Natarajan,1.5166,1.2589,0,2.3344,3.6322,2
Glenn Maxwell,1.5161,1.6763,0,2.1216,1.7612,0
Mujeeb Ur Rahman,1.934,1.934,1.7194,2.246,0.8584,0
Ravi Bishnoi,1.6141,1.6141,0,2.3344,3.9104,3
Arshdeep Singh,1.8365,1.7743,1.8102,2.3591,2.4719,2
Mohammed Shami,2.2892,2.5173,3.8685,3.6078,3.7504,1
Sheldon Cottrell,1.6141,1.6141,0,0.6354,3.6322,0
Rahul Tewatia,1.5166,2.0315,2.034,1.9946,3.052,1
Andrew Tye,1.4191,3.0141,1.5317,2.1905,1.7319,1
Jofra Archer,2.7066,2.7066,2.9483,2.8233,3.493,3
Shreyas Gopal,2.8296,2.8296,3.6626,3.141,2.0395,0
Kartik Tyagi,1.5166,0,0,0,0,1
Varun Aaron,1.4191,2.6148,2.5245,3.2875,3.052,0
Marcus Stoinis,1.8718,2.057,1.5317,2.5056,2.6346,2
Axar Patel,1.8713,3.5161,2.9424,4.0941,3.3303,1
Harshal Patel,1.6768,2.7123,1.4833,3.2875,2.9129,1
Kagiso Rabada,2.6327,2.6327,4.0616,2.6521,2.9129,3
Anrich Nortje,1.6141,1.6141,0,1.8481,3.052,1
Ravichandran Ashwin,1.9693,4.4603,3.5598,4.0941,2.3622,2
Glenn Maxwell,1.5161,1.6763,0,2.2126,0.5801,0
Mujeeb Ur Rahman,1.934,1.934,1.7194,1.6106,0.8584,0
Chris Jordan,0.6808,1.5421,0,1.2929,0.8584,0
Ravi Bishnoi,1.6141,1.6141,0,1.8481,1.7612,1
Mohammed Shami,2.2892,2.5173,3.8685,3.0747,2.8921,1
Arshdeep Singh,1.8365,1.7743,1.8102,1.1685,2.0101,1
Sunil Narine,3.7981,4.3249,2.9242,5.0298,4.9028,2
Andre Russell,3.093,2.9955,3.4206,4.4713,2.7737,0
Pat Cummins,0.9385,1.6763,0,2.1658,2.6196,0
Kamlesh Nagarkoti,1.2589,1.2589,0,0.6354,1.7612,0
Prasidh Krishna,1.7993,1.7993,2.1432,2.8233,2.4719,3
Varun Chakravarthy,0,1.2589,0,0.6354,2.5249,0
Shane Watson,1.2589,3.5161,0,3.7543,0.5801,0
Sam Curran,1.7743,2.2172,3.0496,1.2929,2.6196,1
Ravindra Jadeja,3.4372,3.8665,3.9654,4.4118,4.1392,0
Dwayne Bravo,3.5104,4.0012,3.1119,3.5857,2.0186,0
Shardul Thakur,2.1917,2.6091,2.4217,2.9945,3.493,2
Deepak Chahar,2.4489,2.4489,4.1531,2.2681,3.1259,1
Karn Sharma,1.7743,2.8968,1.792,2.9724,2.3413,0
Shivam Dube,1.9693,1.9693,0.6115,0.6354,3.052,0
Chris Morris,1.9693,3.1545,2.9724,3.2875,3.052,3
Washington Sundar,2.0315,2.0315,2.155,2.3344,4.0286,2
Isuru Udana,1.7743,1.7743,0,1.7016,3.6322,1
Navdeep Saini,1.6763,1.6763,2.8032,1.6106,2.9214,0
Yuzvendra Chahal,3.5719,3.8353,3.8608,3.7543,4.514,1
Vijay Shankar,1.0987,1.0987,1.2048,0.6354,1.5483,0
Abhishek Sharma,1.4191,1.4191,2.034,0.6354,2.3328,0
Rashid Khan,2.97,2.97,3.9654,3.2654,4.2122,2
Sandeep Sharma,2.3514,3.8353,2.9483,2.246,2.8032,0
Khaleel Ahmed,2.3867,2.3867,3.0934,2.5056,3.1912,2
T Natarajan,1.5166,1.2589,0,0.6354,3.6322,0
Ben Stokes,1.8365,1.934,2.4035,2.6547,0.5801,0
Riyan Parag,0.9385,0.9385,1.5317,0.6354,0.5801,0
Rahul Tewatia,1.5166,2.0315,2.034,1.2929,1.3647,0
Jofra Archer,2.7066,2.7066,2.9483,2.8233,3.052,1
Shreyas Gopal,2.8296,2.8296,3.6626,3.141,1.4385,0
Jaydev Unadkat,2.0937,3.4372,2.7063,4.4713,2.9868,1
Kartik Tyagi,1.5166,0,0,0,0,1
Hardik Pandya,2.6148,2.3514,3.7052,2.6326,0,0
Kieron Pollard,2.7378,2.7378,0,2.757,2.312,0
Krunal Pandya,2.7123,2.7123,3.5175,3.6052,3.3095,2
James Pattinson,1.8718,1.8718,0,0.6354,4.2122,0
Rahul Chahar,2.129,2.0315,3.3539,2.6521,4.0731,0
Trent Boult,1.9693,2.8725,2.2158,1.5551,4.0731,1
Jasprit Bumrah,3.2527,3.5161,4.1531,3.6078,4.601,0
Marcus Stoinis,1.8718,2.057,1.5317,3.6647,1.3647,1
Axar Patel,1.8713,3.5161,2.9424,3.268,3.7713,1
Harshal Patel,1.6768,2.7123,1.4833,3.4587,0.5801,0
Ravichandran Ashwin,1.9693,4.4603,3.5598,3.8787,3.3303,1
Kagiso Rabada,2.6327,2.6327,4.0616,3.6052,3.052,2
Anrich Nortje,1.6141,1.6141,0,0.6354,1.4385,0
Washington Sundar,2.0315,2.0315,2.155,3.141,0,2
Shivam Dube,1.9693,1.9693,0.6115,0,0,0
Chris Morris,1.9693,3.1545,2.9724,4.4713,0,2
Isuru Udana,1.7743,1.7743,0,2.3344,0,1
Navdeep Saini,1.6763,1.6763,2.8032,2.8233,0,1
Mohammed Siraj,1.934,2.3147,2.4217,2.6547,0,1
Yuzvendra Chahal,3.5719,3.8353,3.8608,3.7322,2.7293,1
Andre Russell,3.093,2.9955,3.4206,3.4613,2.4719,1
Pat Cummins,0.9385,1.6763,0,2.3149,0.8584,0
Kamlesh Nagarkoti,1.2589,1.2589,0,0.6354,1.6372,0
Prasidh Krishna,1.7993,1.7993,2.1432,1.6106,0,1
Varun Chakravarthy,0,1.2589,0,0.6354,1.7319,0
Vijay Shankar,1.0987,1.0987,1.2048,2.3344,1.5483,
Rashid Khan,2.97,2.97,3.9654,3.4145,4.2122,
Sandeep Sharma,2.3514,3.8353,2.9483,3.4613,2.8032,
T Natarajan,1.5166,1.2589,0,2.1879,3.6322,
Khaleel Ahmed,2.3867,2.3867,3.0934,1.6106,3.1912,
Shane Watson,1.2589,3.5161,0,3.8011,0.5801,
Sam Curran,1.7743,2.2172,3.0496,0.9531,2.6196,
Ravindra Jadeja,3.4372,3.8665,3.9654,2.8814,4.1392,
Dwayne Bravo,3.5104,4.0012,3.1119,4.0941,2.0186,
Deepak Chahar,2.4489,2.4489,4.1531,3.9229,3.1259,
Karn Sharma,1.7743,2.8968,1.792,2.1905,2.3413,
Shardul Thakur,2.1917,2.6091,2.4217,3.268,3.493,
Marcus Stoinis,1.8718,2.057,1.5317,2.5056,2.1936,
Harshal Patel,1.6768,2.7123,1.4833,3.2875,0.8584,
Axar Patel,1.8713,3.5161,2.9424,4.0941,3.7268,
Kagiso Rabada,2.6327,2.6327,4.0616,2.6521,4.0209,
Ravichandran Ashwin,1.9693,4.4603,3.5598,4.0941,3.9104,
Anrich Nortje,1.6141,1.6141,0,1.8481,3.6321,
Ben Stokes,1.8365,1.934,2.4035,1.8039,0.5801,
Riyan Parag,0.9385,0.9385,1.5317,1.5551,0.5801,
Rahul Tewatia,1.5166,2.0315,2.034,1.9946,1.3647,
Jofra Archer,2.7066,2.7066,2.9483,2.8233,3.052,
Shreyas Gopal,2.8296,2.8296,3.6626,3.141,1.4385,
Kartik Tyagi,1.5166,0,0,0,0,
Jaydev Unadkat,2.0937,3.4372,2.7063,4.3001,2.9868,
Shivam Dube,1.9693,1.9693,0.6115,2.3344,0,
Chris Morris,1.9693,3.1545,2.9724,4.2406,2.4719,
Isuru Udana,1.7743,1.7743,0,0,2.1936,
Washington Sundar,2.0315,2.0315,2.155,2.1658,2.4719,
Navdeep Saini,1.6763,1.6763,2.8032,1.8039,2.1936,
Mohammed Siraj,1.934,2.3147,2.4217,1.8728,2.0545,
Yuzvendra Chahal,3.5719,3.8353,3.8608,4.6178,3.4485,
Glenn Maxwell,1.5161,1.6763,0,2.9945,0.8584,
Chris Jordan,0.6808,1.5421,0,0,0,
Mohammed Shami,2.2892,2.5173,3.8685,3.2901,3.3539,
Murugan Ashwin,1.3564,1.934,2.1432,2.9945,2.1936,
Arshdeep Singh,1.8365,1.7743,1.8102,0,0,
Ravi Bishnoi,1.6141,1.6141,0,2.3344,0.8584,
Kieron Pollard,2.7378,2.7378,0.0,2.6326,2.312
Hardik Pandya,2.6148,2.3514,3.7052,3.6052,0.0
Krunal Pandya,2.7123,2.7123,3.5175,3.2432999999999996,3.3095
James Pattinson,1.8718000000000004,1.8718000000000004,0.0,2.3344,4.2122
Rahul Chahar,2.129,2.0315000000000003,3.3539000000000003,2.2126,4.0731
Trent Boult,1.9693000000000003,2.8725,2.2158,2.9697999999999998,4.0731
